┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:15:04│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  12M  102M┊   0     0 ┊  12M  102M
Jun-07 16:15:05│37.0G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  11M  102M┊   0     0 ┊  11M  102M
Jun-07 16:15:06│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  43M  215M┊  20k   20k┊  43M  215M
Jun-07 16:15:07│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  15M  138M┊   0     0 ┊  15M  138M
Jun-07 16:15:08│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  12M  108M┊   0     0 ┊  12M  108M
Jun-07 16:15:09│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  12M  103M┊   0     0 ┊  12M  103M
Jun-07 16:15:10│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  12M  110M┊   0     0 ┊  12M  110M
Jun-07 16:15:11│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  48M  253M┊  20k   20k┊  48M  253M
Jun-07 16:15:12│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  116M┊   0     0 ┊  13M  116M
Jun-07 16:15:13│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  12M  107M┊   0     0 ┊  12M  107M
Jun-07 16:15:14│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  114M┊   0     0 ┊  13M  114M
Jun-07 16:15:15│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  33M  120M┊  20k   20k┊  33M  120M
Jun-07 16:15:16│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  29M  261M┊   0     0 ┊  29M  261M
Jun-07 16:15:17│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  115M┊   0     0 ┊  13M  115M
Jun-07 16:15:18│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  116M┊   0     0 ┊  13M  116M
Jun-07 16:15:19│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  116M┊   0     0 ┊  13M  116M
Jun-07 16:15:20│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  43M  198M┊  20k   20k┊  43M  198M
Jun-07 16:15:21│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  22M  197M┊   0     0 ┊  22M  197M
Jun-07 16:15:22│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  117M┊   0     0 ┊  13M  117M
Jun-07 16:15:23│36.9G 52.3G  154G  212G│  2   1  97   0   0│   0     0 ┊  13M  120M┊   0     0 ┊  13M  120M
Jun-07 16:15:24│36.9G 52.3G  154G  212G│  1   1  97   0   0│   0     0 ┊  13M  114M┊   0     0 ┊  13M  114M
Jun-07 16:15:25│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  51M  265M┊  20k   20k┊  51M  265M
Jun-07 16:15:26│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  16M  146M┊   0     0 ┊  16M  146M
Jun-07 16:15:27│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  130M┊   0     0 ┊  14M  130M
Jun-07 16:15:28│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  13M  119M┊   0     0 ┊  13M  119M
Jun-07 16:15:29│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  126M┊   0     0 ┊  14M  126M
Jun-07 16:15:30│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  55M  296M┊  20k   20k┊  55M  296M
Jun-07 16:15:31│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  126M┊   0     0 ┊  14M  126M
Jun-07 16:15:32│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  126M┊   0     0 ┊  14M  126M
Jun-07 16:15:33│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  126M┊   0     0 ┊  14M  126M
Jun-07 16:15:34│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  38M  136M┊  20k   20k┊  38M  136M
Jun-07 16:15:35│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  33M  302M┊   0     0 ┊  33M  302M
Jun-07 16:15:36│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  135M┊   0     0 ┊  15M  135M
Jun-07 16:15:37│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  130M┊   0     0 ┊  14M  130M
Jun-07 16:15:38│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  137M┊   0     0 ┊  15M  137M
Jun-07 16:15:39│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  46M  204M┊  19k   19k┊  46M  204M
Jun-07 16:15:40│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  27M  250M┊   0     0 ┊  27M  250M
Jun-07 16:15:41│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  14M  132M┊   0     0 ┊  14M  132M
Jun-07 16:15:42│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  15M  139M┊   0     0 ┊  15M  139M
