┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:28:36│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 4738M┊   0     0 ┊ 496M 4738M
Jul-08 11:28:37│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 4727M┊2264b 2264b┊ 496M 4729M
Jul-08 11:28:38│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 4761M┊   0     0 ┊ 496M 4761M
Jul-08 11:28:39│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 461M 4727M┊   0     0 ┊ 461M 4727M
Jul-08 11:28:40│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 4763M┊   0     0 ┊ 496M 4763M
Jul-08 11:28:41│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 4673M┊   0     0 ┊ 496M 4673M
Jul-08 11:28:42│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 461M 4642M┊   0     0 ┊ 461M 4642M
Jul-08 11:28:43│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 4761M┊   0     0 ┊ 496M 4761M
Jul-08 11:28:44│36.2G 42.4G  170G  213G│  2   1  98   0   0│1833M 5426M┊3512b 3512b┊1833M 5426M
Jul-08 11:28:45│36.2G 42.4G  170G  213G│  1   2  97   0   0│4232M   15G┊2224b 2224b┊4232M   15G
Jul-08 11:28:46│36.2G 42.4G  170G  213G│  2   1  97   0   0│1904M   18G┊   0     0 ┊1904M   18G
Jul-08 11:28:47│36.2G 42.4G  170G  213G│  2   2  96   0   0│1417M   14G┊2240b 2240b┊1417M   14G
Jul-08 11:28:48│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 487M 4873M┊   0     0 ┊ 487M 4873M
