# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.917096 19.606743 41.116625 1.958548 0.216185 1.775504 -nan -nan -nan
62465 10 14.887745 87.703443 221.813369 1.958548 8.103991 8.088387 4.587845 0.000062 0.613753
63489 10 14.987931 88.364676 223.506320 1.958548 8.180778 8.161857 4.598900 0.000061 0.610384
64513 10 15.078304 88.645198 224.588745 1.958548 8.200634 8.184121 4.610358 0.000061 0.607287
65537 10 14.998154 89.226281 224.839008 1.958548 8.317496 8.230874 4.620630 0.000060 0.603961
66561 10 15.058267 89.346505 225.129345 1.958548 8.282964 8.264270 4.631741 0.000060 0.601028
67585 10 15.158044 90.097701 226.531959 1.958548 8.327946 8.318838 4.641728 0.000059 0.597873
68609 10 15.238603 90.438336 227.664273 1.958548 8.364250 8.346645 4.651899 0.000059 0.594896
69633 10 15.348604 91.049679 229.147036 1.958548 8.406778 8.404531 4.661480 0.000059 0.591860
70657 10 15.438567 91.410351 230.249090 1.958548 8.429269 8.440153 4.671212 0.000058 0.588985
71681 10 15.468828 91.911285 231.250957 1.958548 8.506965 8.488042 4.680469 0.000058 0.586076
72705 10 15.548977 92.181994 232.252824 1.958548 8.529228 8.513623 4.690110 0.000057 0.583394
73729 10 15.679015 92.833003 234.106074 1.958548 8.590658 8.564829 4.699128 0.000057 0.580623
74753 10 15.719499 93.193675 234.767306 1.958548 8.619146 8.603813 4.708141 0.000057 0.577951
75777 10 15.809462 93.794795 236.200180 1.958548 8.678395 8.658337 4.716596 0.000056 0.575210
76801 10 15.919872 94.075318 237.522645 1.958548 8.702658 8.679464 4.725487 0.000056 0.572695
77825 10 16.009836 94.826923 238.945296 1.958548 8.760771 8.750708 4.733406 0.000056 0.569981
78849 10 16.069948 95.117260 239.766827 1.958548 8.785261 8.769655 4.741602 0.000055 0.567435
79873 10 16.260507 95.648045 242.111196 1.958548 8.834014 8.831993 4.749749 0.000055 0.564961
80897 10 16.230247 95.848827 242.231420 1.958548 8.880995 8.847578 4.758135 0.000055 0.562644
81921 10 16.360694 96.579986 244.045004 1.958548 8.937563 8.915459 4.765757 0.000054 0.560176
82945 10 16.430620 96.950881 244.786386 1.958548 8.942243 8.932180 4.773447 0.000054 0.557806
83969 10 16.480918 97.611704 245.898254 1.958548 9.009897 8.998970 4.780393 0.000054 0.555300
84993 10 16.600733 97.842338 247.591613 1.958548 9.064921 9.030140 4.787918 0.000054 0.553033
86017 10 16.671068 98.313011 248.483071 1.958548 9.085821 9.076893 4.795245 0.000053 0.550778
87041 10 16.740994 98.814354 249.605162 1.958548 9.132802 9.116968 4.802303 0.000053 0.548514
88065 10 16.831367 99.314878 251.087925 1.958548 9.197140 9.169265 4.809159 0.000053 0.546258
89089 10 16.901293 99.615438 251.859158 1.958548 9.205136 9.193800 4.816257 0.000053 0.544141
90113 10 17.001480 100.256633 253.312070 1.958548 9.255253 9.259455 4.822828 0.000052 0.541932
91137 10 17.122113 100.627528 254.995207 1.958548 9.308231 9.282855 4.829595 0.000052 0.539844
92161 10 17.181816 101.308798 255.987259 1.958548 9.352122 9.334061 4.835665 0.000052 0.537617
93185 10 17.232114 101.589321 256.658306 1.958548 9.370797 9.366321 4.841991 0.000052 0.535521
94209 10 17.332300 102.100069 258.742189 1.958548 9.491021 9.427569 4.848136 0.000052 0.533430
95233 10 17.432487 102.551113 259.433682 1.958548 9.456535 9.458738 4.854244 0.000051 0.531385
96257 10 17.522860 103.122382 260.976557 1.958548 9.527551 9.505446 4.860019 0.000051 0.529302
97281 10 17.582563 103.422942 262.909956 1.958548 9.676037 9.534434 4.866016 0.000051 0.527333
98305 10 17.652898 104.334437 263.270629 1.958548 9.637961 9.603452 4.870883 0.000051 0.525121
99329 10 17.903569 105.696976 267.047463 1.958548 9.779086 9.747029 4.874092 0.000051 0.522630
100353 10 18.213943 106.388060 270.443997 1.958548 9.811618 9.669107 4.877330 0.000051 0.520189
101377 10 18.053645 105.456528 268.029293 1.958548 9.721427 9.702502 4.883078 0.000050 0.518358
102401 10 18.103533 105.857275 269.081458 1.958548 9.782903 9.748120 4.888789 0.000050 0.516564
103425 10 18.244204 106.287873 271.726387 1.958548 9.920483 9.775972 4.894592 0.000050 0.514843
104449 10 18.183683 106.638731 270.534369 1.958548 9.855282 9.834994 4.900224 0.000050 0.513116
105473 10 18.324353 108.451906 273.649971 1.958548 10.045160 10.010876 4.903072 0.000050 0.510809
106497 10 18.594653 109.203511 276.555386 1.958548 10.067651 10.055404 4.905743 0.000050 0.508515
107521 10 18.694840 109.504071 277.777664 1.958548 10.092141 10.077667 4.908816 0.000050 0.506321
108545 10 18.824878 110.065116 279.540950 1.958548 10.143575 10.131100 4.911802 0.000050 0.504150
109569 10 18.865361 110.395528 280.272108 1.958548 10.179833 10.063173 4.914987 0.000050 0.502049
110593 10 18.804840 109.573997 279.019979 1.958548 10.107953 10.093252 4.920443 0.000049 0.500539
111617 10 18.895213 111.056760 281.474349 1.958548 10.280247 10.253505 4.923811 0.000049 0.498541
112641 10 19.165922 111.928589 284.440284 1.958548 10.309008 10.312526 4.926744 0.000049 0.496498
113665 10 19.295960 112.209112 286.073123 1.958548 10.345947 10.330337 4.930134 0.000049 0.494573
114689 10 19.456258 111.637843 286.674243 1.958548 10.234629 10.269135 4.935643 0.000049 0.493242
115713 10 19.225625 111.798551 286.183124 1.958548 10.436320 10.296942 4.941028 0.000049 0.491906
116737 10 19.345849 112.379634 286.453833 1.958548 10.332816 10.340333 4.946162 0.000049 0.490525
117761 10 19.245662 112.970531 286.062900 1.958548 10.400698 10.393766 4.950625 0.000049 0.488981
118785 10 19.405961 113.381092 289.519546 1.958548 10.606660 10.575237 4.955266 0.000048 0.487520
119809 10 19.767042 115.244565 293.216231 1.958548 10.616201 10.605316 4.957775 0.000048 0.485612
120833 10 19.836968 115.785982 294.428694 1.958548 10.673224 10.662066 4.960134 0.000048 0.483709
121857 10 19.877043 114.633630 293.596940 1.958548 10.536279 10.560743 4.965354 0.000048 0.482531
122881 10 19.756819 115.164824 294.669143 1.958548 10.788995 10.747758 4.969990 0.000048 0.481199
123905 10 20.037341 115.956095 296.041496 1.958548 10.629787 10.637576 4.974319 0.000048 0.479805
124929 10 19.897080 116.206357 296.782878 1.958548 10.868009 10.725494 4.978566 0.000048 0.478418
125953 10 20.017304 116.427177 296.712951 1.958548 10.726657 10.719951 4.983239 0.000048 0.477187
126977 10 20.047565 117.298597 297.664930 1.958548 10.798809 10.771158 4.987033 0.000048 0.475731
128001 10 20.097453 117.208633 299.818739 1.958548 10.982689 10.805689 4.991676 0.000048 0.474548
129025 10 20.287604 117.929568 300.830421 1.958548 10.883820 10.856895 4.995980 0.000047 0.473288
130049 10 20.467940 118.350352 302.664042 1.958548 10.887183 10.895834 5.000453 0.000047 0.472106
