┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jun-20 14:05:52│37.6G 48.8G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 
Jun-20 14:05:54│37.6G 48.7G  157G  211G│  0   2  98   0   0│   0     0 ┊   0     0 ┊  34k   33k
Jun-20 14:05:55│37.6G 48.7G  157G  211G│  0   2  98   0   0│   0     0 ┊ 255k  255k┊ 193k  351k
Jun-20 14:05:55│37.6G 48.7G  157G  211G│  0   1  99   0   0│   0     0 ┊1560b 1560b┊  53k   68k
Jun-20 14:05:56│37.6G 48.7G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  17k   32k
Jun-20 14:05:57│37.9G 48.4G  157G  211G│  0   1  99   0   0│  20k   14k┊  41k   41k┊  54k   92k
Jun-20 14:05:58│37.9G 48.3G  157G  211G│  1   1  98   0   0│  63k   67k┊1083k 1083k┊  81k  111k
Jun-20 14:05:59│37.9G 48.3G  157G  211G│  0   0  99   0   0│  26k   13k┊ 348k  348k┊  50k   31k
Jun-20 14:06:00│37.9G 48.3G  157G  211G│  0   0 100   0   0│  10k  960b┊   0     0 ┊  36k   94k
Jun-20 14:06:01│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  20k  105k
Jun-20 14:06:02│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  26k  110k
Jun-20 14:06:03│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  19k   94k
Jun-20 14:06:04│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  27k  109k
Jun-20 14:06:05│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  18k  120k
Jun-20 14:06:06│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  12k    0 
Jun-20 14:06:07│37.9G 48.3G  157G  211G│  0   0 100   0   0│   0     0 ┊   0     0 ┊  14k  132k
Jun-20 14:06:08│38.0G 48.2G  157G  211G│  1   2  97   0   0│  32k   28k┊ 372k  372k┊  65k  149k
Jun-20 14:06:09│38.0G 48.3G  157G  211G│  1   1  98   0   0│  27k   17k┊ 338k  338k┊  38k   51k
Jun-20 14:06:10│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  19k   21k
Jun-20 14:06:11│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  16k  137k
Jun-20 14:06:12│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  18k   33k
Jun-20 14:06:13│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  15k   51k
Jun-20 14:06:14│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  17k   45k
Jun-20 14:06:15│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊8160b    0 
Jun-20 14:06:16│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊9120b    0 
Jun-20 14:06:17│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  16k   59k
Jun-20 14:06:18│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊  14k   14k┊  20k   92k
Jun-20 14:06:19│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  14k   72k
Jun-20 14:06:20│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊5280b    0 
Jun-20 14:06:21│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  17k   84k
Jun-20 14:06:22│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊9120b    0 
Jun-20 14:06:23│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  28k  170k
Jun-20 14:06:24│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊3360b  528b
Jun-20 14:06:25│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  11k    0 
Jun-20 14:06:26│38.0G 48.3G  157G  211G│  1   1  98   0   0│1568b  960b┊  14k   14k┊  20k  149k
Jun-20 14:06:27│38.0G 48.3G  157G  211G│  1   1  98   0   0│   0     0 ┊   0     0 ┊  12k    0 
Jun-20 14:06:28│38.0G 48.3G  157G  211G│  1   0  98   0   0│   0     0 ┊   0     0 ┊  28k  205k
